CustomerID,TotalSpent,TotalOrders,TotalQuantity,Segment
12346.0,77183.6,1,74215,VIP
12347.0,4310.0,7,2458,VIP
12348.0,1797.24,4,2341,VIP
12349.0,1757.55,1,631,VIP
12350.0,334.4,1,197,Regular
12352.0,2506.04,8,536,VIP
12353.0,89.0,1,20,New
12354.0,1079.4,1,530,Loyal
12355.0,459.4,1,240,Regular
12356.0,2811.43,3,1591,VIP
12357.0,6207.67,1,2708,VIP
12358.0,1168.06,2,248,Loyal
12359.0,6310.03,4,1609,VIP
12360.0,2662.06,3,1165,VIP
12361.0,189.9,1,91,New
12362.0,5226.23,10,2229,VIP
12363.0,552.0,2,408,Regular
12364.0,1313.1,4,1506,Loyal
12365.0,641.38,2,174,Regular
12367.0,168.9,1,173,New
12370.0,3541.94,4,2352,VIP
12371.0,1887.96,2,591,VIP
12372.0,1298.04,3,794,Loyal
12373.0,364.6,1,197,Regular
12374.0,742.9300000000001,1,342,Loyal
12375.0,457.5,2,178,Regular
12377.0,1628.12,2,944,Loyal
12378.0,4008.62,1,2529,VIP
12379.0,852.24,2,407,Loyal
12380.0,2724.81,4,1127,VIP
12381.0,1845.31,5,808,VIP
12383.0,1850.56,5,1532,VIP
12384.0,585.27,2,126,Regular
12386.0,401.9,2,354,Regular
12388.0,2780.66,6,1462,VIP
12390.0,549.84,1,353,Regular
12391.0,439.66,1,293,Regular
12393.0,1582.6000000000001,4,816,Loyal
12394.0,1272.48,2,819,Loyal
12395.0,3018.63,12,2118,VIP
12397.0,2409.9,2,1263,VIP
12398.0,1635.6599999999999,1,1394,Loyal
12399.0,1108.65,4,1178,Loyal
12401.0,84.3,1,11,New
12402.0,225.6,1,94,New
12403.0,427.7,1,96,Regular
12405.0,1710.39,1,857,VIP
12406.0,3415.3,2,1818,VIP
12407.0,1708.1200000000001,5,1416,VIP
12408.0,2888.55,5,1409,VIP
12409.0,11072.67,3,5551,VIP
12410.0,693.3299999999999,2,211,Loyal
12412.0,1226.88,3,829,Loyal
